Podcast Name,Episode Title,Date,Episode Description,Guess of Sponsorship,Matched Keyword
台灣通勤第一品牌,EP145 聽說他家,"Wed, 13 Oct 2021 09:57:27 GMT","本集節目由【老朋友 – 樂天國際銀行】合作播出
--
牛肉來了！想存就存、想買就買！

輸入推薦序號WIN開戶+啟用提款卡，先回饋200元現金🤗

開戶連結 ：https://pse.is/3qq9nb

✨ PChome網購回饋50% ！

2021/10/31前，樂天網銀掃碼支付PChome 線上購物，享實付金額50%現金回饋(無需登錄)(每人回饋上限千元)

✨ 定存1個月就有年利率2% ！

2021/10/31前，在樂天網銀開立「新台幣一個月優惠定存」，享有2%年利率。

(存單金額限為新台幣2萬元、新台幣5萬元及新台幣10萬元)

手機最快10分鐘線上申請，輸入推薦序號WIN開戶+啟用提款卡，先回饋200元現金🤗

👉👉👉輸入推薦序號WIN開戶：https://pse.is/3qq9nb

💰 活動詳情：https://pse.is/3kjhj2

💰 VIP帳戶手續費優惠( 新戶都是VIP啦 )：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！ 

💰手機就能申貸，高隱私/低干擾， 24H滿足線上資金需求

",sponsored,合作播出
台灣通勤第一品牌,EP146 愛的囚徒 ft.周東彥,"Fri, 15 Oct 2021 09:44:19 GMT","本集節目由【新竹市政府廣告】贊助播出
2021新竹光臨藝術節：https://lightcoming.hccg.gov.tw/
「光來了，黑暗就會散去」面對世界艱難的時刻，藝術回歸成為疫情新生活的養分，新竹市政府邀請國內外創作者，用光雕、音樂與藝術「讓古蹟說故事」，將夜晚變身當代藝廊，一起來發現新竹市這座城市的美麗吧！
活動期間：10/22-11/27
光雕限定期間：10/22-10/31
",sponsored,贊助播出
台灣通勤第一品牌,EP147 酌收服務費60%,"Tue, 19 Oct 2021 15:15:25 GMT","這次介紹的是三星Neo QLED 量子電視 QN800A 

這次 @samsungtaiwan 提供給台通聽眾購買電視的特別優惠 🔥

因應每個人需求不一樣，從一般HD到8K都有，尺寸也是可以因應每個人的需求不同來做調整，或甚至是外觀設計很有特色的「設計生活系列電視」

現在需要的聽眾可以到三星官網了解更多 👉🏻 https://www.samsung.com/tw/tvs/all-tvs 

有需要的聽眾可以填寫表單，會提給聽眾優惠的報價 👉🏻 https://forms.gle/1PcfzcSN3n8XB1rt8 
因為每個人需要的電視、所在的地方跟安裝方式不同，所以價格都不大一樣，但都是會有特別的折扣

現在購買上網登錄寄回回函，還會再送最新的旗艦手機或是Soundbar或是郵政禮券

更多活動詳情 👉🏻  https://reurl.cc/vgve1L 

#Samsung​ #NeoQLED8K量子電視​
#世上顏質最高的電視​ #點亮你的星視野​
",not_sponsored,no keyword found
台灣通勤第一品牌,EP148 那全是太陽惹的禍,"Sat, 23 Oct 2021 11:14:22 GMT","本集節目由【HARU Orgasm 大麻熱感潤滑液】贊助播出

不論是自己用，或是跟另一半用，HARU Orgasm 大麻熱感潤滑液都是你最佳的選擇！
熱浪酥麻的體感，搭配舒緩及保濕的功效，簡直是讓整個過程是一波未平一波又起啊！
✓添加大麻籽萃取，激發情慾，提升敏感度
✓熱浪酥麻，雙重體感，刺激享受
✓添加雙重粧品級保濕因子並富涵維他命A，D，E，完美滋潤
✓易清洗水溶性配方
Orgasm大麻熱感潤滑液的獨家熱麻敏感配方，能夠讓彼此的愛意輕易達到最高點，也有助於雙方更快進入狀況。
第一次使用潤滑液選擇Orgasm大麻熱感潤滑液準沒錯！
能增加兩人的愉悅氛圍，感受到彼此的熱烈情意，迅速增加親密感，讓心更貼近。
*搭配HARU Ultra Thin超薄型及G-SPOT G點型保險套使用效果更佳喔～&lt;3*
即刻輸入「iwantu」享有台通專屬9折優惠！

HARU Orgasm 大麻熱感潤滑液：https://letsharu.cc/熱浪來襲 
HARU 保險套雙入組：https://letsharu.cc/搭配熱浪 

【台通獨家抽獎活動】 

前往HARU官方IG ＠letsharu
於11/1前追蹤並留言私訊官方帳號：「HARU大麻潤滑液最棒」 
即可參加抽獎，抽HARU 大麻熱浪迷情潤滑液一罐 

將於11/5於官方IG STORY公布1名得獎者  
#letsharu #HARU含春 #HARU保險套 #HARU潤滑液 #Orgasm潤滑液
",sponsored,贊助播出
台灣通勤第一品牌,EP149 一次掉兩票 ft.郭書成,"Mon, 25 Oct 2021 14:34:01 GMT","本集節目由【老朋友 – 樂天國際銀行】合作播出
 
🌟下載樂天國際銀行app開戶推薦序號輸入WIN，成功開戶並在期間內啟用金融卡就可以得兩百元!
💰開戶連結：https://pse.is/3qq9nb
 
樂天國際銀行提供 (活動詳情：https://pse.is/3kjhj2)：

🌟年利率2%新台幣一個月期優惠定存
定存開單金額提供20,000/50,000/100,000三種固定額度

🌟50%現金回饋
登入樂天國際銀行APP掃碼付款PChome 線上購物網站訂單(含PChome 24h購物及PChome24h書店網站)，享實付金額50%現金回饋(無需登錄)。每人回饋上限新台幣1,000元(以身分證字號歸戶計算)

💰VIP帳戶手續費優惠( 新戶都是VIP啦 )：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！

💰手機就能申貸，高隱私+低干擾， 24H滿足線上資金需求
",sponsored,合作播出
台灣通勤第一品牌,EP150 #deepfake,"Sun, 31 Oct 2021 10:45:05 GMT","本集感謝各界賢達鼎力相助

更詳盡的報導來自於 👇 👇 👇
reurl.cc/V528Rb ；【臉被偷走之後：無法可管的數位性暴力？】

用訂閱來支持黃標尊理包之王【中指通】
👉 👉 👉　reurl.cc/YjD804

以及他的廢片頻道：【中指通一下】
👉 👉 👉　reurl.cc/Q624Z0

最後也感謝【法律白話文】的ＹＯＹＯ
👉 👉 👉　追蹤法白ＩＧ　reurl.cc/WXbDR5

👉 👉 👉　購買法白小包　reurl.cc/n5p7Nv
",not_sponsored,no keyword found
台灣通勤第一品牌,EP151 戒色第三輪第一天,"Wed, 03 Nov 2021 14:23:27 GMT","本集節目由【異物梗色】合作播出

不同所有性別與性向的學員們！來看看有哪些課程供你學習！
👉https://workshop.yiwu.io/ 
台通粉絲獨享優惠碼『CMFM』
2022 年 6 月底前報名，可享單張 95 折優惠
且還可與其他優惠共用：包括兩張 92 折、八張以上 88 折⋯等
完課後還能再免費回鍋聽一次！

異物梗色也開設了『線上課程』
【大人的床上家教班：用實戰技巧昇華性愛體驗】
從男體到女體、口愛到性交，最實用的性愛技巧教學，通通完整收錄！
讓喜歡自行安排學習時間與場域的你，可以收藏課程，隨時隨地讓自己能重複複習！

11/15之前享早鳥募資優惠👉https://t.yiwu.io/ppa 
前500名早鳥購課學員，再抽漉漉水性潤滑液50名💦

－－－－－

本集節目由【老朋友 – 樂天國際銀行】合作播出

🧐下載樂天國際銀行app開戶推薦序號輸入WIN，享新戶禮最多回饋共NT$1200！
開戶連結：https://pse.is/3qq9nb 
*開卡禮：現金NT$ 200

*PChome網購回饋50%(每人最多NT$ 1000)
活動詳情：https://pse.is/3kjhj2 

👉存12或18個月的定存，不管存多少，年利率都是1%喔！
https://reurl.cc/Mk2gMW 
👉VIP帳戶手續費優惠( 新戶都是VIP)：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！
👉手機就能申貸，高隱私+低干擾， 24H滿足線上資金需求
",sponsored,合作播出
台灣通勤第一品牌,EP152 愛我就吃隔夜薯條,"Sat, 06 Nov 2021 06:29:36 GMT","本集節目由【V-TEX防水鞋】贊助播出

防止雙腳 BU JU BU JU 怕幾怕幾 的防水神鞋來囉～
最佳護腳神器V-TEX防水鞋，輕鬆對抗天氣變化🦶
長保雙腳乾爽舒適，穿上一整天也輕鬆無負擔！
　
WEAVE系列最新配色-深灰色，添加銀纖維技術，擺脫雙腳悶熱異味
V-TEX全系列皆有12大特色，同時兼具防水、透氣、輕量等功能，晴天、雨天都好穿！
製程與原料皆通過歐洲第三方公證-Bluesign認證，安全、環保，讓您更安心！
　
【12.12】前購買享有3+1組限定優惠
💥全家店取 1雙即免運
💥滿$4,000贈限量好禮（在地好物工具組）
💥官網註冊新(舊)會員享200紅利
🔥結帳輸入台通專屬優惠碼「TWCT88」再享88折優惠
（台北西門直營店也適用喔）
　
趕快為自己備一雙機能實用的防水神鞋吧🙌
立即逛逛👉https://lihi1.com/oyXGB 
　
#VTEX防水鞋 #防水透氣輕量 #晴雨兩用

",sponsored,專屬優惠
台灣通勤第一品牌,EP153 共享單巾,"Wed, 10 Nov 2021 13:56:57 GMT","本集節目由【Dr.情趣❤️台灣第一情趣用品購物中心】贊助播出
本集商品由【台灣通勤第一品牌】回尻再推
/
【性徒會長｜處女小穴版】
值得你一尻再尻，尻爆再買的傳奇經典之作！
這半年多以來，經過了台灣無數男性的考驗洗禮
捲入圍剿了無數根30公分，吸出了台灣人民無數的子孫
如今「性徒會長｜處女小穴版」已成為飛機杯界無可撼動的存在
/
【性徒會長｜處女小穴版】
❤️【外陰雙層設計】倒鉤傘狀構造，超刺激穴口讓人流連忘返，停滯不前。
❤️【中段橫紋漩渦狹道】吸攪捲榨，就是這麼激烈。
❤️【末段特大腔室的真空吸吮舔舐】吸到最後只想大喊「啊，攏呼你啦！」
/
一杯難求的「最吸力作」
獨家吸精大道入口請走👉🏻：https://drqqtoys.tw/commuteforme
結帳輸入［shyshy］，九折不害羞通通帶走！
/
【Dr.情趣🔥最強省錢術】
全商城瘋狂下殺中，年度最便宜！挑戰歷史新低價！
爽爽高潮無負擔！快來逛爆Dr.情趣吧！
點我搶看【Dr.情趣購物攻略】&gt;https://www.drqq.toys/pages/20211111
",sponsored,贊助播出
台灣通勤第一品牌,EP154 不能只有我看見 ft.齊廷洹,"Sat, 13 Nov 2021 06:05:27 GMT","本集節目由【全家便利商店】x【看見．齊柏林基金會】贊助播出

&lt;不能只有我看見&gt; MV看了再說
https://bremen.tw/ZXDaeW


齊柏林導演曾在雲的高度，用鳥的視野
傳達他對土地環境的關懷，帶大家看見台灣
即日起邀請大家用行動支持看見的力量
響應「全家一起看見台灣」環境關懷公益合作計畫
幫助全家和「看見・齊柏林基金會」持續推動環境教育

#全家零錢捐
讓手中的每一塊錢都成為守護台灣土地環境的力量
1.店舖零錢捐
2.FamiPort小額捐
3.全家APP手機捐款 👉 https://bremen.tw/KZ2YxF
支持看見・齊柏林基金會，化作對台灣環境教育的支持。

#看見台灣罐
全家x黑松汽水x看見・齊柏林基金會
共同推出4款「看見台灣罐」
罐子上為台灣令人驕傲的美麗影像，全家便利商店限定販售
每收藏一罐，黑松汽水將捐5元給看見・齊柏林基金會
用行動支持環境教育推廣。

計畫說明：https://17lovetaiwan.com/
募款期間：110/10/6-111/1/25
#不能只有我看見台灣的美
",sponsored,贊助播出
台灣通勤第一品牌,EP155 留在心上的才是醍醐味,"Wed, 17 Nov 2021 14:46:50 GMT","本集節目由【文策院】贊助播出
你知道CSR是什麼嗎？CSR for Culture又是什麼呢？
據統計，目前臺灣已有超過500家企業投入CSR工作，其中曾投入文化發展相關領域的企業總家將近一半，以文化發展相關領域作為企業CSR報告一部分已漸漸成為顯學。
而文策院期望自己扮演拉起企業端與文化端、讓雙方能發掘創新合作模式的中介角色，建立長期夥伴關係。 
更多關於文策院推動的CSR for Culture資訊：https://csr.taicca.tw/aboutus/ 

",sponsored,贊助播出
台灣通勤第一品牌,EP156 車牌，不必寫資訊,"Sat, 20 Nov 2021 16:01:36 GMT","【雅瑟 LS系列全新上市】

@台灣雅瑟音響 全新推出LS系列，針對條件受限的起居空間與較小房間所開發造型更為纖瘦的揚聲系統。
LS系列介紹： https://reurl.cc/6DRYxr 

馬上出發去聽：
台北 https://goo.gl/maps/DLz7Dm1tHEETpXkP8 
新竹 https://goo.gl/maps/3QsgzvnfHDGZhiY67 
台中 https://goo.gl/maps/ev6CLrhe6oNjkQHk6 
台南 https://goo.gl/maps/3bfzczK7cm4ws23C8 
高雄 https://goo.gl/maps/gVWqzLrJRTxTptsk6 
 
【振興五倍券，雅瑟加碼送發燒訊號線】
★凡來店購買雅瑟商品(喇叭、擴大機)，發燒訊號線立即送，送完為止~
★其他線材再享8折優惠~
★活動截止日: 2021/12/20
★限購買雅瑟商品，並使用五倍券購買，優惠不得合併使用。

#USHERAUDIO
#雅瑟音響


",not_sponsored,no keyword found
台灣通勤第一品牌,EP157 Are we COOL？,"Tue, 23 Nov 2021 12:01:35 GMT","本集節目由【分不開的朋友 – 樂天國際銀行】合作播出
🧐下載樂天國際銀行app開戶推薦序號輸入WIN，享新戶禮最多回饋共NT$1,200！
開戶連結：pse.is/3qq9nb
* 開卡禮：現金NT$ 200
* PChome網購回饋50%(每人最多NT$ 1,000)
活動詳情：pse.is/3kjhj2
👉打開樂天銀行App付款5次(不限金額)，下個月存款的”活存”年利率就是1%(存款額度無上限！)
pse.is/3syh9s
👉VIP帳戶手續費優惠( 新戶都是VIP)：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！
👉24H手機就能申貸，12/6前完成申請+登入網銀，前500名免費送樂天胖達1隻(帶我走~~)
pse.is/3sjpwc
",sponsored,合作播出
台灣通勤第一品牌,EP158 快快樂樂出門，平平安安回家,"Sat, 27 Nov 2021 14:17:58 GMT","本集節目由【RhinoShield犀牛盾】合作播出
 最熟悉的陌生人-RhinoShield犀牛盾推出全新系列Clear透明手機殼了！ 
一體成型的全透明設計，夠透明、沒網點、沒材料接點，透出手機極致之美 
夠自由夠安全，搭配掛繩使用解放你的雙手，也不用再怕沒口袋 終結黃化設計，五年內黃化幫你免費換新一次（詳見官網規範） 
九折折扣碼序號：ttrs (犀牛盾官網皆可使用） 
官網選購這邊挑：https://url.rhinoshield.tw/commuteforrs  
其他型號陸續推出，留下信箱將在推出第一時間通知你。 
【Let you, Be you 讓 你就是你】 感受透明的力量-有一種強大是展現最真實的自己
 https://reurl.cc/px0pg4
https://reurl.cc/0x0mjM
",sponsored,合作播出
台灣通勤第一品牌,EP159 先到先得,"Wed, 01 Dec 2021 13:20:29 GMT","本集節目由【YOXI】贊助播出

好消息好消息📢📢
yoxi 週年慶，11/19 - 12/30開催中，多重好禮等你搭車帶回去👇👇

🎉一天一蘋果，iPhone13趟趟抽
週週抽7隻iPhone 13、還有最高$4500通勤月票趟趟抽，搭越多中獎機率越高

🎉友情大評薦，Apple Watch S7 推薦好友註冊滿額送
不用抽、免加價購，總共58支，Apple Watch S7 推薦200好友註冊yoxi立即送給你

🎉台通鮮🦐挺，12/30前，輸入【何不搭車】$150($30*5)專屬搭車金立即領

優惠詳情看這裡 :  https://bit.ly/3Fo2oIV 
想拿好禮，何不立即下載 yoxi : https://yoxirider.page.link/ZJKz
",sponsored,贊助播出
台灣通勤第一品牌,EP160 金曲獎四度得主無情奪獎心法初公開 ft.吳金黛,"Fri, 03 Dec 2021 13:47:49 GMT","本集節目由 【Alpecin咖啡因洗髮露】贊助播出
 -- 亞洲限定金色版，輕奢吸金直達頂標 --
獨家專利咖啡因配方強健髮根，適合所有男性使用 
德國No.1 #Alpecin咖啡因洗髮露，頂級魅力一瓶擁有，
 限量生產電商獨賣，蝦皮台通專區79折下殺優惠 
*買再贈精美小禮物 &gt;&gt; https://bremen.tw/commute 
讓你今年冬天洗到明年，金色帶來一整年吉利大發好運 
聽台通，一起用老朋友Alpecin 在家痛快洗頭 #健髮123 #強健髮根

",sponsored,贊助播出
台灣通勤第一品牌,EP161 👆👆👆高來高去👇👇👇,"Wed, 08 Dec 2021 14:21:54 GMT","本集節目由【BFF!?  – 樂天國際銀行】合作播出
 今天、馬上、立刻開戶才趕得上→超限時年利率3.88%高利快閃優惠存款(活動只到12/9)
   鐵粉都會背了吧? 樂天國際銀行→開戶推薦序號輸入WIN，啟用金融卡回饋200元現金! 新戶都有
！PChome網購回饋50%(每人最多回饋1000元)
 開戶連結：https://pse.is/3qq9nb 
活動詳情：https://pse.is/3kjhj2 
======================太多優惠需要分隔線===============================
 打開樂天銀行App付款5次(不限金額)，下個月存款的”活存”年利率就是1%(存款額度無上限！)。 
活動詳情：https://pros.is/3y2bsf 
 VIP帳戶手續費優惠( 新戶都是VIP)：每月跨行轉帳、提款最多各8次免手續費。到日本領日幣也有8次免手續費！ 
活動詳情：https://pros.is/3z67bt  
24H手機就能申貸，貸款年利率1.68%起，開辦費只收NT$ 1,000。 
活動詳情：https://pros.is/3we447
",sponsored,合作播出
台灣通勤第一品牌,EP162 使用前應詳閱公開說明書,"Sun, 12 Dec 2021 14:32:20 GMT","本集節目由【捷元電腦】贊助播出

『捷元 15T EVO筆記型電腦  』給您工作、學習、娛樂。全方位一次到位

🔺Intel® EVO™ 認證平台 
🔺超強續航力可達9小時以上
🔺快速反應一秒睡眠即時喚醒功能
🔺現購買捷元還能免費為您升級Windows 11 

即刻入手🛒
https://reurl.cc/Q6vpgO 
https://momo.dm/nVAviA 

。捷元電腦為消費者量身打造專屬個人品牌電腦
。擁有全台200家捷元通路服務聯盟維修保固有保障
https://www.genuine.com.tw/
",sponsored,贊助播出
台灣通勤第一品牌,EP163 比例尺,"Wed, 15 Dec 2021 11:01:27 GMT","本集節目由【SHIELD｜全境機能斜肩包】合作播出
台灣新創品牌，第一款可以 #雙向USB充放電 的輕智能 #防盜斜肩包，可以同時替兩台3C設備充電(手機、雲台、GoPro)，也能放在包內充電讓你出門不忘記帶走。實用的 #多層次收納 空間，貼心的 #多功能掛鉤 與 #防水拉鍊 設計，搭載 #義大利 精品的幾何前端圖形設計，SHIELD 絕對是你 #日常外出 與 #戶外遊玩 的 #時尚百搭 好伙伴！
 
📢 台通聽眾專屬優惠價$1390，現省$960↘️(優惠倒數只到12/31)
📢『現貨』限量各100個，現在下單就能即刻擁有！
 
優先搶購👉 https://lihi1.com/i8A4m
 
⚠️ ⚠️ 下單時選項標示「現貨」即可立即出貨，「預購」為2022/02出貨。
",sponsored,專屬優惠
台灣通勤第一品牌,EP164 大GUY4這樣,"Sat, 18 Dec 2021 16:25:40 GMT","本集節目由【台通新晉好友Insula遊戲評測】合作播出

邀請預備年末轉職、新鮮人、想更了解自己實力的鐵粉，先來蝦挺一波玩遊戲做評測！
想跟家倫一樣是酷酷集團嗎？下面連結開玩看你酷不酷！

★測驗職場軟實力（哈波魔法學院版）
https://insula.pse.is/3vx7tn 
測驗不同職業類別需要的軟實力，並依據遊戲評測結果分到專屬的哈利波特魔法學院。
不管你的新鮮人、年後轉職、還是了解自己的實力，都非常適合來測驗自己的軟實力！

★BigFive Ocean 海海人生
https://insula.pse.is/3ystgv 
透過心理學認證的五大人格測驗，搭配趣味插圖，帶你輕鬆下潛人格之海，找到代表你的海洋生物。五大人格是現代心理學中描述最高組織層次的五面向特質：O經驗開放性、C嚴謹性、E外向性、A親和性、N情緒穩定性，描述個人於生活事件中穩定一致的行為、感覺、想法。

★泡泡糖
https://insula.pse.is/3uaydj 
讚的遊戲！測驗某種特質與傾向，在遇到特殊情境下，會偏好做出的決策或行為。

★企業諮詢請寄信：marketing@talfin.ai

",sponsored,合作播出
台灣通勤第一品牌,EP165 單數有孤，雙則圓滿,"Tue, 21 Dec 2021 16:08:42 GMT","本集節目由【法國植萃養髮專家 蔻蘿蘭】贊助播出

讓法國蔻蘿蘭來拯救你漸漸消失的髮絲豐盈感~~
在網路的討論度很高養髮系列，現在成分更升級效果更強！
使用蔻蘿蘭養髮洗、護、精華三步驟，給頭皮滿滿的營養，頭髮豐厚感就回來了！

聽台通 養頭髮! 選喜歡的賣場~折扣碼大放送!

&gt;MOMO限時 養髮精華+洗髮精400ml(37折) 先至會員中心折價券輸入折扣碼W4AAGXDNTPL1
https://reurl.cc/Q6kz30
 
&gt;康是美獨家養髮強韌洗髮組(5折)，12/26前輸入折扣碼COSMED100 再折100 https://bit.ly/32jZPt8

&gt;蝦皮限時 養髮強韌洗護組(57折)，12/27前輸入折扣碼AVEN00120 再折120 https://bit.ly/3l9CiBK

",sponsored,贊助播出
